"region","n","n_pps","n_pps_sovm","n_pps_gph","pps_stud","fo"
"Алтайский край",29325,2780,434,272,8.41222030981067,"Сибирский ФО"
"Амурская область",9881,909,86,9,9.84163346613546,"Дальневосточный ФО"
"Архангельская область",11001,1371,242,269,5.84537725823592,"Северо-Западный ФО"
"Астраханская область",16226,1770,567,43,6.81764705882353,"Южный ФО"
"Белгородская область",21504,2316,382,275,7.23309788092836,"Центральный ФО"
"Брянская область",12517,1154,90,24,9.87145110410095,"Центральный ФО"
"Владимирская область",12573,1295,257,271,6.89687328579265,"Центральный ФО"
"Волгоградская область",33911,4046,801,102,6.85209133158214,"Южный ФО"
"Вологодская область",9886,981,60,342,7.14822848879248,"Северо-Западный ФО"
"Воронежская область",46759,4949,897,478,7.39389626818469,"Центральный ФО"
"г.Москва",407454,44548,11047,4128,6.82239673157745,"Центральный ФО"
"г.Санкт-Петербург",194202,21545,5514,1927,6.69985510246326,"Северо-Западный ФО"
"г.Севастополь",7939,868,111,19,7.95490981963928,"Южный ФО"
"Еврейская автономная область",1051,93,9,8,9.55454545454545,"Дальневосточный ФО"
"Забайкальский край",10790,1270,171,72,7.13152676801058,"Сибирский ФО"
"Ивановская область",16551,1820,146,264,7.4219730941704,"Центральный ФО"
"Иркутская область",42515,3861,635,342,8.78772219925589,"Сибирский ФО"
"Кабардино-Балкарская Республика",9387,1015,104,49,8.03681506849315,"Северо-Кавказский ФО"
"Калининградская область",10629,1155,231,19,7.56512455516014,"Северо-Западный ФО"
"Калужская область",9877,956,369,27,7.30547337278106,"Центральный ФО"
"Камчатский край",1947,225,62,16,6.42574257425743,"Дальневосточный ФО"
"Карачаево-Черкесская Республика",4453,577,69,12,6.76747720364742,"Северо-Кавказский ФО"
"Кемеровская область",27583,2979,370,285,7.59025866813429,"Сибирский ФО"
"Кировская область",16554,1377,323,15,9.65247813411079,"Приволжский ФО"
"Костромская область",5893,710,50,118,6.71184510250569,"Центральный ФО"
"Краснодарский край",55330,5282,957,274,8.49531705819131,"Южный ФО"
"Красноярский край",49211,5172,1056,41,7.84989631520179,"Сибирский ФО"
"Курганская область",6350,785,139,73,6.3691073219659,"Уральский ФО"
"Курская область",19795,2017,305,34,8.40195246179966,"Центральный ФО"
"Ленинградская область",3023,263,102,46,7.35523114355231,"Северо-Западный ФО"
"Липецкая область",10257,1148,103,29,8.01328125,"Центральный ФО"
"Магаданская область",1139,144,34,0,6.39887640449438,"Дальневосточный ФО"
"Московская область",33521,3166,2705,373,5.36851377322229,"Центральный ФО"
"Мурманская область",4259,472,135,257,4.92939814814815,"Северо-Западный ФО"
"Нижегородская область",46716,5302,1009,637,6.72366148531952,"Приволжский ФО"
"Новгородская область",4903,542,149,0,7.09551374819103,"Северо-Западный ФО"
"Новосибирская область",59164,5586,3468,394,6.26206604572396,"Сибирский ФО"
"Омская область",37993,3582,445,329,8.72199265381083,"Сибирский ФО"
"Оренбургская область",22542,2422,431,147,7.514,"Приволжский ФО"
"Орловская область",14955,1772,215,19,7.45513459621137,"Центральный ФО"
"Пензенская область",20593,1841,193,103,9.63640617688348,"Приволжский ФО"
"Пермский край",31733,3570,970,735,6.0157345971564,"Приволжский ФО"
"Приморский край",35515,3395,652,829,7.28363412633306,"Дальневосточный ФО"
"Псковская область",6091,678,99,29,7.55707196029777,"Северо-Западный ФО"
"Республика Адыгея",6362,673,162,78,6.96823658269441,"Южный ФО"
"Республика Алтай",1863,250,76,0,5.71472392638037,"Сибирский ФО"
"Республика Башкортостан",54407,5392,989,435,7.98224765258216,"Приволжский ФО"
"Республика Бурятия",13337,1649,262,236,6.2119236143456,"Сибирский ФО"
"Республика Дагестан",26584,3160,546,66,7.04772004241782,"Северо-Кавказский ФО"
"Республика Ингушетия",3435,291,43,0,10.2844311377246,"Северо-Кавказский ФО"
"Республика Калмыкия",4180,376,52,56,8.63636363636364,"Южный ФО"
"Республика Карелия",7602,921,183,89,6.37217099748533,"Северо-Западный ФО"
"Республика Коми",8930,771,291,97,7.70491803278689,"Северо-Западный ФО"
"Республика Крым",24800,2912,287,105,7.50605326876513,"Южный ФО"
"Республика Марий Эл",9958,906,148,549,6.21210230817218,"Приволжский ФО"
"Республика Мордовия",14901,1714,402,426,5.86191974822974,"Приволжский ФО"
"Республика Саха (Якутия)",15346,1626,382,286,6.68962510897995,"Дальневосточный ФО"
"Республика Северная Осетия - Алания",13519,1506,254,32,7.54408482142857,"Северо-Кавказский ФО"
"Республика Татарстан",77280,7250,1445,613,8.30253545337344,"Приволжский ФО"
"Республика Тыва",2633,287,92,0,6.94722955145119,"Сибирский ФО"
"Республика Хакасия",4822,432,98,36,8.51943462897527,"Сибирский ФО"
"Ростовская область",70125,8085,1258,1007,6.77536231884058,"Южный ФО"
"Рязанская область",17509,1758,366,230,7.43797790994053,"Центральный ФО"
"Самарская область",53583,5460,907,520,7.78031073036155,"Приволжский ФО"
"Саратовская область",42193,4440,627,170,8.05671185793393,"Приволжский ФО"
"Сахалинская область",2401,253,36,6,8.13898305084746,"Дальневосточный ФО"
"Свердловская область",65402,6805,1873,826,6.88152356902357,"Уральский ФО"
"Смоленская область",11674,1304,179,46,7.63505559189012,"Центральный ФО"
"Ставропольский край",33800,3864,825,34,7.15646834639001,"Северо-Кавказский ФО"
"Тамбовская область",14176,1323,259,100,8.42806183115339,"Центральный ФО"
"Тверская область",14004,1590,133,476,6.36834924965894,"Центральный ФО"
"Томская область",37600,4342,1136,164,6.66430343849699,"Сибирский ФО"
"Тульская область",15256,1478,365,43,8.08907741251326,"Центральный ФО"
"Тюменская область",30275,2735,576,53,8.99970273483948,"Уральский ФО"
"Удмуртская Республика",20904,2107,343,115,8.14970760233918,"Приволжский ФО"
"Ульяновская область",19009,1774,342,214,8.15836909871245,"Приволжский ФО"
"Хабаровский край",25934,2524,515,288,7.79501051998798,"Дальневосточный ФО"
"Ханты-Мансийский автономный округ",14052,1135,392,134,8.45996387718242,"Уральский ФО"
"Челябинская область",48750,5387,746,293,7.58636788048553,"Уральский ФО"
"Чеченская Республика",13561,1259,382,0,8.26386349786715,"Северо-Кавказский ФО"
"Чувашская Республика",14791,1477,189,63,8.55465587044534,"Приволжский ФО"
"Чукотский автономный округ",78,4,15,0,4.10526315789474,"Дальневосточный ФО"
"Ямало-Ненецкий автономный округ",305,50,35,3,3.46590909090909,"Уральский ФО"
"Ярославская область",17573,1793,280,132,7.96961451247166,"Центральный ФО"
